id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
6430122,6430122,1,100%,100%,2,0.0,1.0,1.0,$190.00 ,,,3,1125,13,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90388849,-77.01749486
4044606,4044606,206,92%,76%,3,1.0,1.0,2.0,$246.00 ,,$100.00 ,3,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90491061,-77.02989687
6376317,6376317,1,70%,100%,3,1.0,1.0,2.0,$200.00 ,$200.00 ,$70.00 ,2,1125,14,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90531249,-77.02209897
1584147,1584147,1,75%,75%,3,1.0,1.0,2.0,$215.00 ,,,1,1125,34,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90077204,-77.02467740000002
8514469,8514469,1,67%,100%,4,2.0,2.0,2.0,$450.00 ,$450.00 ,,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90120829,-77.01633753
7572512,7572512,190,87%,70%,3,1.0,1.0,1.0,$234.00 ,,$100.00 ,3,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90500013,-77.02923984
2477330,2477330,4,100%,100%,2,1.0,1.5,1.0,$110.00 ,,$10.00 ,2,1125,33,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90416965,-77.01281494
7916003,7916003,1,90%,100%,4,2.0,2.0,2.0,$225.00 ,$300.00 ,,3,30,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90426222,-77.01009846
216398,216398,480,58%,51%,3,1.0,1.0,1.0,$249.00 ,,,4,365,4,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89283202,-77.01899905
7114075,7114075,1,71%,0%,2,1.0,1.0,1.0,$109.00 ,$500.00 ,$45.00 ,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90539031,-77.02932422
7258774,7258774,1,100%,100%,4,2.0,2.0,2.0,$250.00 ,,$70.00 ,3,1125,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90157468,-77.01577666
3961511,3961511,1,,,4,1.0,1.0,1.0,$135.00 ,,,2,1125,2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90150258,-77.01459088
5353107,5353107,1,100%,89%,3,1.0,2.0,2.0,$87.00 ,"$1,000.00 ",$40.00 ,2,30,2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90415166,-77.01505902
536232,536232,5,83%,65%,4,1.0,1.0,1.0,$210.00 ,$200.00 ,$60.00 ,1,90,103,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.897366399999996,-77.01793376
3477770,3477770,2,96%,98%,10,3.0,2.0,6.0,$300.00 ,$150.00 ,$150.00 ,3,1125,5,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90547366,-77.02053108
5411135,5411135,480,58%,51%,2,0.0,1.0,1.0,$189.00 ,,,4,365,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89304843,-77.02015909999999
4772168,4772168,1,,,2,1.0,1.0,1.0,$120.00 ,,,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90481354,-77.02584423
7474964,7474964,1,60%,100%,2,1.0,1.0,1.0,$200.00 ,,,1,1,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90453668,-77.01622818
2707225,2707225,2,100%,89%,3,1.0,1.0,2.0,$269.00 ,,$100.00 ,1,1125,6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89894803,-77.03279296
7630675,7630675,190,87%,70%,3,1.0,1.0,1.0,$569.00 ,,$100.00 ,3,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89324232,-77.02017568
6288255,6288255,2,70%,57%,4,2.0,2.0,2.0,$120.00 ,$500.00 ,$100.00 ,1,1125,3,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90531783,-77.01514668
6812558,6812558,2,100%,95%,1,1.0,1.0,1.0,$109.00 ,,,2,5,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90157102,-77.01574978
